name                          ,info                                                                                                                         ,symbol      ,sys_dat                                ,sys_gui                                ,category         ,source                                                   ,inter_val
dimidia sextula               ,"1/2 sext., 1/12 un."                                                                                                        ,dsext.      ,Roman (uncia fraction)                 ,római (uncia törtrészei)               ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.002274
drachma                       ,gör. drachméból: 1/8 un.                                                                                                     ,darch.      ,Roman (uncia fraction)                 ,római (uncia törtrészei)               ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.003411
sextula                       ,1/6 un.                                                                                                                      ,sext.       ,Roman (uncia fraction)                 ,római (uncia törtrészei)               ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.004548
sicilicus                     ,"aka. quartuncia, 1/4 un."                                                                                                   ,sic.        ,Roman (uncia fraction)                 ,római (uncia törtrészei)               ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.006822
binae sextulae                ,"2 sext., aka. duella, 1/3 un."                                                                                              ,bsext.      ,Roman (uncia fraction)                 ,római (uncia törtrészei)               ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.009096
semuncia                      ,1/2 un.                                                                                                                      ,semun.      ,Roman (uncia fraction)                 ,római (uncia törtrészei)               ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.013644
uncia𝅵                         ,róm. uncia: 1/12 lib.                                                                                                        ,un.         ,Roman (uncia fraction)                 ,római (uncia törtrészei)               ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.027288
uncia𝅶                         ,róm. uncia: 1/12 lib.                                                                                                        ,un.         ,Roman (uncia-libra)                    ,római (uncia–libra)                    ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.027288
sescuncia                     ,1 1/2 un.                                                                                                                    ,seun.       ,Roman (uncia-libra)                    ,római (uncia–libra)                    ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.040931
sextans                       ,"1/6 lib., 2 un."                                                                                                            ,sexta.      ,Roman (uncia-libra)                    ,római (uncia–libra)                    ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.054575
quadrans                      ,"1/4 lib., 3 un."                                                                                                            ,quad.       ,Roman (uncia-libra)                    ,római (uncia–libra)                    ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.081863
triens                        ,"1/3 lib., 4 un."                                                                                                            ,tri.        ,Roman (uncia-libra)                    ,római (uncia–libra)                    ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.10915
quincunx                      ,5 un.                                                                                                                        ,quix.       ,Roman (uncia-libra)                    ,római (uncia–libra)                    ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.136438
semis                         ,"jel. ""fél"" (libra), 6 un."                                                                                                ,semi.       ,Roman (uncia-libra)                    ,római (uncia–libra)                    ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.163725
septunx                       ,7 un.                                                                                                                        ,sept.       ,Roman (uncia-libra)                    ,római (uncia–libra)                    ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.191013
bes                           ,"2/3 lib., 8 un."                                                                                                            ,bes         ,Roman (uncia-libra)                    ,római (uncia–libra)                    ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.2183
dodrans                       ,"3/4 lib., 9 un."                                                                                                            ,dod.        ,Roman (uncia-libra)                    ,római (uncia–libra)                    ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.245588
dextans                       ,"5/6 lib., 10 un."                                                                                                           ,dex.        ,Roman (uncia-libra)                    ,római (uncia–libra)                    ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.272875
deunx                         ,11 un.                                                                                                                       ,deu.        ,Roman (uncia-libra)                    ,római (uncia–libra)                    ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.300163
libra𝅳                         ,róm. font: 12 un.                                                                                                            ,lib.        ,Roman (uncia-libra)                    ,római (uncia–libra)                    ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.32745
libra𝅴                         ,róm. font: 12 un.                                                                                                            ,lib.        ,Roman (libra multiple)                 ,római (libra többszörösei)             ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.32745
dupondius                     ,"aka. dussis, 2 lib."                                                                                                        ,dup.        ,Roman (libra multiple)                 ,római (libra többszörösei)             ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.6549
tressis                       ,3 lib.                                                                                                                       ,tres.       ,Roman (libra multiple)                 ,római (libra többszörösei)             ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,0.98235
quincussis                    ,5 lib.                                                                                                                       ,quinc.      ,Roman (libra multiple)                 ,római (libra többszörösei)             ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,1.63725
decussis                      ,10 lib.                                                                                                                      ,dec.        ,Roman (libra multiple)                 ,római (libra többszörösei)             ,weight           ,"Egger, Jochen, and Smart 2010, 464."                    ,3.2745
Wiener Loth𝅳                   ,bécsi lat: 1/32 Pfund                                                                                                        ,Loth        ,Viennese (15-16th c.)                  ,bécsi (15–16. sz.)                     ,weight           ,"Bogdán 1991, 49."                                       ,0.0173687
Wiener Unzen𝅳                  ,bécsi nehezék v. uncia: 2 Loth                                                                                               ,Unz.        ,Viennese (15-16th c.)                  ,bécsi (15–16. sz.)                     ,weight           ,"Bogdán 1991, 49."                                       ,0.0347375
Wiener Pfund𝅳                  ,bécsi font: 16 Unz.                                                                                                          ,Pfund       ,Viennese (15-16th c.)                  ,bécsi (15–16. sz.)                     ,weight           ,"Bogdán 1991, 49."                                       ,0.5558
Wiener Zentner𝅳                ,bécsi mázsa: 100 Pfund                                                                                                       ,Zent.       ,Viennese (15-16th c.)                  ,bécsi (15–16. sz.)                     ,weight           ,"Bogdán 1991, 49."                                       ,55.58
Wiener Loth𝅴                   ,bécsi lat: 1/32 Pfund                                                                                                        ,Loth        ,Viennese (17th c.-1756)                ,bécsi (17. sz.–1756)                   ,weight           ,"Bogdán 1991, 49."                                       ,0.0175381
Wiener Unzen𝅴                  ,bécsi nehezék v. uncia: 2 Loth                                                                                               ,Unz.        ,Viennese (17th c.-1756)                ,bécsi (17. sz.–1756)                   ,weight           ,"Bogdán 1991, 49."                                       ,0.0350762
Wiener Pfund𝅴                  ,bécsi font: 16 Unz.                                                                                                          ,Pfund       ,Viennese (17th c.-1756)                ,bécsi (17. sz.–1756)                   ,weight           ,"Bogdán 1991, 49."                                       ,0.56122
Wiener Zentner𝅴                ,bécsi mázsa: 100 Pfund                                                                                                       ,Zent.       ,Viennese (17th c.-1756)                ,bécsi (17. sz.–1756)                   ,weight           ,"Bogdán 1991, 49."                                       ,56.122
Wiener Loth𝅵                   ,bécsi lat: 1/32 Pfund                                                                                                        ,Loth        ,Viennese (1756-1874)                   ,bécsi (1756–1874)                      ,weight           ,"Bogdán 1991, 49."                                       ,0.0175018
Wiener Unzen𝅵                  ,bécsi nehezék v. uncia: 2 Loth                                                                                               ,Unz.        ,Viennese (1756-1874)                   ,bécsi (1756–1874)                      ,weight           ,"Bogdán 1991, 49."                                       ,0.035003
Wiener Pfund𝅵                  ,bécsi font: 16 Unz.                                                                                                          ,Pfund       ,Viennese (1756-1874)                   ,bécsi (1756–1874)                      ,weight           ,"Bogdán 1991, 49."                                       ,0.56
Wiener Zentner𝅵                ,bécsi mázsa: 100 Pfund                                                                                                       ,Zent.       ,Viennese (1756-1874)                   ,bécsi (1756–1874)                      ,weight           ,"Bogdán 1991, 49."                                       ,56.006
Zoll-Loth                     ,bécsi (német) vámlat                                                                                                         ,ZLoth       ,Viennese customs                       ,bécsi vámsúly (1851–1874)              ,weight           ,"Bogdán 1991, 49."                                       ,1.666
Zollpfund                     ,"bécsi (német) vámfont, 30 ZLoth, 50 dag-hoz igazítva"                                                                       ,ZPfund      ,Viennese customs                       ,bécsi vámsúly (1851–1874)              ,weight           ,"Bogdán 1991, 49."                                       ,0.5
Zollzentner                   ,"bécsi (német) vámmázsa, 100 ZPfund, 50 kg-hoz igazítva"                                                                     ,ZZent.      ,Viennese customs                       ,bécsi vámsúly (1851–1874)              ,weight           ,"Bogdán 1991, 49."                                       ,50.0
budai ferton𝅳                  ,"jel. ""negyed"" (márka), 1/880 mázsa"                                                                                       ,fert.       ,Buda (-13th c.)                        ,budai (–13. sz.)                       ,weight           ,"Bogdán 1991, 50."                                       ,0.061384
budai márka𝅳                   ,4 fert.                                                                                                                      ,márka       ,Buda (-13th c.)                        ,budai (–13. sz.)                       ,weight           ,"Bogdán 1991, 50."                                       ,0.2455
budai mázsa𝅳                   ,220 márka                                                                                                                    ,mázsa       ,Buda (-13th c.)                        ,budai (–13. sz.)                       ,weight           ,"Bogdán 1991, 50."                                       ,54.018
budai lat𝅴                     ,1/32 font                                                                                                                    ,lat         ,Buda (14th c.-1686)                    ,budai (14. sz.–1686)                   ,weight           ,"Bogdán 1991, 50."                                       ,0.015347
budai nehezék𝅴                 ,2 lat                                                                                                                        ,neh.        ,Buda (14th c.-1686)                    ,budai (14. sz.–1686)                   ,weight           ,"Bogdán 1991, 50."                                       ,0.030694
budai ferton𝅴                  ,"jel. ""negyed"" (márka), 1/16 font, 2 neh."                                                                                 ,fert.       ,Buda (14th c.-1686)                    ,budai (14. sz.–1686)                   ,weight           ,"Bogdán 1991, 50."                                       ,0.061388
budai font𝅴                    ,16 fert.                                                                                                                     ,font        ,Buda (14th c.-1686)                    ,budai (14. sz.–1686)                   ,weight           ,"Bogdán 1991, 50."                                       ,0.4811
budai mázsa (100 font)𝅴        ,"Váltószáma bizonytalan, 100 fontos érték."                                                                                  ,mázsa       ,Buda (14th c.-1686)                    ,budai (14. sz.–1686)                   ,weight           ,"Bogdán 1991, 50."                                       ,49.11
budai mázsa (120 font)𝅴        ,"Váltószáma bizonytalan, 120 fontos érték."                                                                                  ,mázsa       ,Buda (14th c.-1686)                    ,budai (14. sz.–1686)                   ,weight           ,"Bogdán 1991, 50."                                       ,58.93
pozsonyi lat𝅳                  ,1/32 font                                                                                                                    ,lat         ,Pressburg (-1854)                      ,pozsonyi (–1854)                       ,weight           ,"Bogdán 1991, 52."                                       ,0.017437
pozsonyi nehezék𝅳              ,2 lat                                                                                                                        ,neh.        ,Pressburg (-1854)                      ,pozsonyi (–1854)                       ,weight           ,"Bogdán 1991, 52."                                       ,0.034875
pozsonyi font𝅳                 ,16 neh.                                                                                                                      ,font        ,Pressburg (-1854)                      ,pozsonyi (–1854)                       ,weight           ,"Bogdán 1991, 52."                                       ,0.558
pozsonyi mázsa𝅳                ,100 font                                                                                                                     ,mázsa       ,Pressburg (-1854)                      ,pozsonyi (–1854)                       ,weight           ,"Bogdán 1991, 52."                                       ,55.8
pozsonyi lat𝅴                  ,"1/32 font, a bécsihez igazítva."                                                                                            ,lat         ,Pressburg (1854-1874)                  ,pozsonyi (1854–1874)                   ,weight           ,"Bogdán 1991, 52."                                       ,0.0175018
pozsonyi nehezék𝅴              ,"2 lat, a bécsihez igazítva."                                                                                                ,neh.        ,Pressburg (1854-1874)                  ,pozsonyi (1854–1874)                   ,weight           ,"Bogdán 1991, 52."                                       ,0.035003
pozsonyi font𝅴                 ,"16 neh., a bécsihez igazítva."                                                                                              ,font        ,Pressburg (1854-1874)                  ,pozsonyi (1854–1874)                   ,weight           ,"Bogdán 1991, 52."                                       ,0.56
pozsonyi mázsa𝅴                ,"100 font, a bécsihez igazítva."                                                                                             ,mázsa       ,Pressburg (1854-1874)                  ,pozsonyi (1854–1874)                   ,weight           ,"Bogdán 1991, 52."                                       ,56.0
magyar lat                    ,"ném. Lot szóból, 1/120 font."                                                                                               ,lat         ,Hungarian (16-18th c.)                 ,magyar (16–18. sz.)                    ,weight           ,"Bogdán 1991, 52."                                       ,0.015312
magyar font                   ,"lat. pondus szóból, 32 lat."                                                                                                ,font        ,Hungarian (16-18th c.)                 ,magyar (16–18. sz.)                    ,weight           ,"Bogdán 1991, 52."                                       ,0.49
magyar mázsa                  ,"lat. massa szóból, 120 font."                                                                                               ,mázsa       ,Hungarian (16-18th c.)                 ,magyar (16–18. sz.)                    ,weight           ,"Bogdán 1991, 52."                                       ,58.8
erdélyi lat𝅳                   ,1/144 font                                                                                                                   ,lat         ,Transylvanian (mid1680s-mid1690s)      ,erdélyi (1680köz.–1690köz.)            ,weight           ,"Bogdán 1991, 51."                                       ,0.019475
erdélyi font𝅳                  ,20 lat                                                                                                                       ,font        ,Transylvanian (mid1680s-mid1690s)      ,erdélyi (1680köz.–1690köz.)            ,weight           ,"Bogdán 1991, 51."                                       ,0.3895
erdélyi mázsa𝅳                 ,144 font                                                                                                                     ,mázsa       ,Transylvanian (mid1680s-mid1690s)      ,erdélyi (1680köz.–1690köz.)            ,weight           ,"Bogdán 1991, 51."                                       ,56.09
erdélyi lat𝅴                   ,1/144 font                                                                                                                   ,lat         ,Transylvanian (mid1690s-1721)          ,erdélyi (1690köz.–1721)                ,weight           ,"Bogdán 1991, 51."                                       ,0.014028
erdélyi font𝅴                  ,32 lat                                                                                                                       ,font        ,Transylvanian (mid1690s-1721)          ,erdélyi (1690köz.–1721)                ,weight           ,"Bogdán 1991, 51."                                       ,0.4489
erdélyi mázsa𝅴                 ,144 font                                                                                                                     ,mázsa       ,Transylvanian (mid1690s-1721)          ,erdélyi (1690köz.–1721)                ,weight           ,"Bogdán 1991, 51."                                       ,64.64
erdélyi lat𝅵                   ,1/100 font                                                                                                                   ,lat         ,Transylvanian (1721-1874)              ,erdélyi (1721–1874)                    ,weight           ,"Bogdán 1991, 51."                                       ,0.0175
erdélyi font𝅵                  ,32 lat                                                                                                                       ,font        ,Transylvanian (1721-1874)              ,erdélyi (1721–1874)                    ,weight           ,"Bogdán 1991, 51."                                       ,0.56
erdélyi mázsa𝅵                 ,100 font                                                                                                                     ,mázsa       ,Transylvanian (1721-1874)              ,erdélyi (1721–1874)                    ,weight           ,"Bogdán 1991, 51."                                       ,56.0
drám                          ,A drachma szóból.                                                                                                            ,dram        ,Turkish (Hungary)                      ,magyarországi török                    ,weight           ,"Bogdán 1991, 52."                                       ,0.0031503
litra                         ,"oszmán-török litra, 100 drám, 18 bécsi lat"                                                                                 ,lit.        ,Turkish (Hungary)                      ,magyarországi török                    ,weight           ,"Bogdán 1991, 52."                                       ,0.315
oka                           ,"4 lit., 2 1/4 bécsi font"                                                                                                   ,oka         ,Turkish (Hungary)                      ,magyarországi török                    ,weight           ,"Bogdán 1991, 52."                                       ,1.26
kantár                        ,44 oka                                                                                                                       ,kant.       ,Turkish (Hungary)                      ,magyarországi török                    ,weight           ,"Bogdán 1991, 52."                                       ,55.44
