name                          ,info                                                                                                                         ,symbol      ,sys_dat                                ,sys_gui                                ,category         ,source                                                   ,inter_val
tokaji átalag                 ,"tokaji szőlő földmérték átalag, 2 1/2 putt."                                                                                ,átl.        ,Tokaj vineyard area                    ,Tokaj-vidéki szőlő földmérték          ,area             ,"Bogdán 1990, 48."                                       ,305.54
tokaji hordó                  ,"tokaji szőlő földmérték hordó, 2 átl."                                                                                      ,hor.        ,Tokaj vineyard area                    ,Tokaj-vidéki szőlő földmérték          ,area             ,"Bogdán 1990, 48."                                       ,610.84
írólap ív                     ,lat. arcus / ném. Bogen: 1 db papírlap                                                                                       ,ív          ,writing paper                          ,írópapír                               ,dimensionless    ,"Bogdán 1991, 53."                                       ,1.0
írólap konc                   ,lat. liber / ném. Buch: 24 ív                                                                                                ,konc        ,writing paper                          ,írópapír                               ,dimensionless    ,"Bogdán 1991, 53."                                       ,24.0
írólap rizsma                 ,"lat. ligatura / ném. Ries: 20 konc, 480 ív"                                                                                 ,rizsma      ,writing paper                          ,írópapír                               ,dimensionless    ,"Bogdán 1991, 53."                                       ,480.0
írólap bála                   ,"lat. bala / ném. Ballen: 10 rizsma, 4800 ív"                                                                                ,bála        ,writing paper                          ,írópapír                               ,dimensionless    ,"Bogdán 1991, 53."                                       ,10.0
nyomdai ív                    ,lat. arcus / ném. Bogen: 1 db papírlap                                                                                       ,ív          ,printing paper                         ,nyomópapír                             ,dimensionless    ,"Bogdán 1991, 53."                                       ,1.0
nyomdai konc                  ,lat. liber / ném. Buch: 25 ív                                                                                                ,konc        ,printing paper                         ,nyomópapír                             ,dimensionless    ,"Bogdán 1991, 53."                                       ,25.0
nyomdai rizsma                ,"lat. ligatura / ném. Ries: 20 konc, 500 ív"                                                                                 ,rizsma      ,printing paper                         ,nyomópapír                             ,dimensionless    ,"Bogdán 1991, 53."                                       ,500.0
nyomdai bála                  ,"lat. bala / ném. Ballen: 10 bála, 5000 ív"                                                                                  ,bála        ,printing paper                         ,nyomópapír                             ,dimensionless    ,"Bogdán 1991, 53."                                       ,5000.0
darab                         ,lat. numerus / ném. Stück: egy egységnyi                                                                                     ,db          ,general (traditional)                  ,általános                              ,dimensionless    ,"Bogdán 1991, 53."                                       ,1.0
pár                           ,ném. Paarból ill. lat. parból: két db                                                                                        ,pár         ,general (traditional)                  ,általános                              ,dimensionless    ,"Bogdán 1991, 53."                                       ,2.0
deher                         ,"ném. Decherből, lat. decuria, ált. prém: 10 db"                                                                             ,deh.        ,general (traditional)                  ,általános                              ,dimensionless    ,"Bogdán 1991, 53."                                       ,10.0
tucat                         ,ném. Dutzendből ill. lat. duodecimből: 12 db                                                                                 ,tuc.        ,general (traditional)                  ,általános                              ,dimensionless    ,"Bogdán 1991, 53."                                       ,12.0
mandel                        ,ném. eredetű szó: 15 db                                                                                                      ,man.        ,general (traditional)                  ,általános                              ,dimensionless    ,"Bogdán 1991, 53."                                       ,15.0
stiga                         ,ném. eredetű szó: 20 db                                                                                                      ,sti.        ,general (traditional)                  ,általános                              ,dimensionless    ,"Bogdán 1991, 53."                                       ,20.0
cimmer                        ,"ném. Zimmerből, lat. timbrium, ált. prém, 4 deher"                                                                          ,cimm.       ,general (traditional)                  ,általános                              ,dimensionless    ,"Bogdán 1991, 53."                                       ,40.0
sokk                          ,"ném. eredetű szó: 4 mandel, 60 db"                                                                                          ,sokk        ,general (traditional)                  ,általános                              ,dimensionless    ,"Bogdán 1991, 53."                                       ,60.0
kis százas                    ,"ném. Hundertből: 5 stiga, 100 db"                                                                                           ,k. száz.    ,general (traditional)                  ,általános                              ,dimensionless    ,"Bogdán 1991, 53."                                       ,100.0
nagy százas                   ,"ném. Hundertből: 6 stiga, 120 db"                                                                                           ,n. száz.    ,general (traditional)                  ,általános                              ,dimensionless    ,"Bogdán 1991, 53."                                       ,120.0
nagy                          ,"ném. Grossból: 12 tucat, 144 db"                                                                                            ,nagy        ,general (traditional)                  ,általános                              ,dimensionless    ,"Bogdán 1991, 53."                                       ,144.0
kis ezres                     ,"ném. Tausendből: 50 stiga, 1000 db"                                                                                         ,k. ez.      ,general (traditional)                  ,általános                              ,dimensionless    ,"Bogdán 1991, 53."                                       ,1000.0
nagy ezres                    ,"ném. Tausendből: 60 stiga, 1200 db"                                                                                         ,n. ez.      ,general (traditional)                  ,általános                              ,dimensionless    ,"Bogdán 1991, 53."                                       ,1200.0
milliméter                    ,SI mértékegység: 10⁻³m                                                                                                       ,mm          ,SI                                     ,metrikus                               ,length           ,SI 2009.                                                 ,0.001
centiméter                    ,SI mértékegység: 10⁻²m                                                                                                       ,cm          ,SI                                     ,metrikus                               ,length           ,SI 2009.                                                 ,0.01
deciméter                     ,SI mértékegység: 10⁻¹m                                                                                                       ,dm          ,SI                                     ,metrikus                               ,length           ,SI 2009.                                                 ,0.1
méter                         ,A hosszúság SI-alapegysége.                                                                                                  ,m           ,SI                                     ,metrikus                               ,length           ,SI 2009.                                                 ,1.0
kilométer                     ,SI mértékegység: 10³m                                                                                                        ,km          ,SI                                     ,metrikus                               ,length           ,SI 2009.                                                 ,1000.0
inch                          ,ang. hüvelyk: 1/32 yd                                                                                                        ,in          ,Imperial                               ,angolszász                             ,length           ,1995 No. 1804.                                           ,0.0254
hand                          ,ang. kéz: 4 in                                                                                                               ,h           ,Imperial                               ,angolszász                             ,length           ,1995 No. 1804.                                           ,0.1016
foot                          ,ang. láb: 12 in                                                                                                              ,ft          ,Imperial                               ,angolszász                             ,length           ,1995 No. 1804.                                           ,0.3048
yard                          ,"A yardstick hosszúsága, 3 ft."                                                                                              ,yd          ,Imperial                               ,angolszász                             ,length           ,1995 No. 1804.                                           ,0.9144
fathom                        ,ang. öl: 6 ft                                                                                                                ,fth         ,Imperial                               ,angolszász                             ,length           ,1995 No. 1804.                                           ,1.8288
rod                           ,"ang. rúd, aka. perch v. pole: 16,5 ft"                                                                                      ,rd          ,Imperial                               ,angolszász                             ,length           ,"Cardarelli 2003, 560–561."                              ,5.0292
chain                         ,ang. lánc: 22 yd                                                                                                             ,ch          ,Imperial                               ,angolszász                             ,length           ,1995 No. 1804.                                           ,20.1168
furlong                       ,ang. stadion: 10 ch                                                                                                          ,fur         ,Imperial                               ,angolszász                             ,length           ,1995 No. 1804.                                           ,201.168
mile                          ,ang. mérföld: 1760 yd                                                                                                        ,mi          ,Imperial                               ,angolszász                             ,length           ,1995 No. 1804.                                           ,1609.344
nautical mile                 ,Tengeri mérföld = egy szögpercnyi távolság.                                                                                  ,nmi         ,Imperial                               ,angolszász                             ,length           ,1995 No. 1804.                                           ,1853.0
δάκτυλος (daktylos)           ,att. ujj: 1/16 p.                                                                                                            ,dak.        ,Attic                                  ,attikai                                ,length           ,"Egger, Jochen, and Smart 2010, 459."                    ,0.01927
κόνδυλος (kondylos)           ,"jel. ""ököl"" v. ""izület"", az ujj középső percének hossza, 2 dak."                                                        ,kon.        ,Attic                                  ,attikai                                ,length           ,"Based on values in Egger, Jochen, and Smart 2010, 459." ,0.03854
παλαιστή (palaisté)           ,"att. tenyér, aka. δῶρον (dóron), 4 dak."                                                                                    ,pal.        ,Attic                                  ,attikai                                ,length           ,"Egger, Jochen, and Smart 2010, 459."                    ,0.07708
διχάς (dichas)                ,"aka. ἡμιπόδιον (hémipodion), 1/2 p., 8 dak."                                                                                ,dich.       ,Attic                                  ,attikai                                ,length           ,"Based on values in Egger, Jochen, and Smart 2010, 459." ,0.15415
λιχάς (lichas)                ,att. kisarasz: 10 dak.                                                                                                       ,lich.       ,Attic                                  ,attikai                                ,length           ,"Hultsch 1882, 697, tab. II.A."                          ,0.1927
ὀρθόδωρον (orthodóron)        ,A tenyér hosszúsága: 11 dak.                                                                                                 ,orth.       ,Attic                                  ,attikai                                ,length           ,"Based on values in Egger, Jochen, and Smart 2010, 459." ,0.21197
σπιθαμή (spithamé)            ,att. nagyarasz: 12 dak.                                                                                                      ,spi.        ,Attic                                  ,attikai                                ,length           ,"Egger, Jochen, and Smart 2010, 459."                    ,0.23123
πούς (pus)𝅴                    ,att. láb: 16 dak.                                                                                                            ,p.          ,Attic                                  ,attikai                                ,length           ,"Egger, Jochen, and Smart 2010, 459."                    ,0.3083
πυγμή (pygmé)                 ,Az alkar és az ököl hosszúsága: 18 dak.                                                                                      ,pyg.        ,Attic                                  ,attikai                                ,length           ,"Hultsch 1882, 697, tab. II.A."                          ,0.3468
πυγών (pygón)                 ,Távolság a könyöktől az első ujjperc végéig: 20 dak.                                                                         ,pyg.        ,Attic                                  ,attikai                                ,length           ,"Hultsch 1882, 697, tab. II.A."                          ,0.3854
πῆχυς (péchys)                ,att. könyök/rőf (távolság a könyöktől a középső ujj hegyéig): 24 dak.                                                        ,pech.       ,Attic                                  ,attikai                                ,length           ,"Egger, Jochen, and Smart 2010, 459."                    ,0.46245
ἁπλοῦν βῆμα (haplun béma)     ,att. lépés: 2 1/2 p.                                                                                                         ,béma        ,Attic                                  ,attikai                                ,length           ,"Egger, Jochen, and Smart 2010, 459."                    ,0.77075
διπλοῦν βῆμα (diplun béma)    ,att. kettős lépés: 5 p.                                                                                                      ,dbm         ,Attic                                  ,attikai                                ,length           ,"Egger, Jochen, and Smart 2010, 459."                    ,1.5415
ὄργυια (orgyia)               ,"att. öl: 1/100 stadion, 6 p."                                                                                               ,org.        ,Attic                                  ,attikai                                ,length           ,"Egger, Jochen, and Smart 2010, 459."                    ,1.8498
κάλαμος (kalamos)             ,"att. rúd, aka. ἄκαινα (akaina) v. δεκάπους (dekapus), 10 p."                                                                ,kal.        ,Attic                                  ,attikai                                ,length           ,"Egger, Jochen, and Smart 2010, 459."                    ,3.083
πλέθρον (plethron)𝅴            ,Egy barázda hossza: 100 p.                                                                                                   ,pleth.      ,Attic                                  ,attikai                                ,length           ,"Egger, Jochen, and Smart 2010, 459."                    ,30.83
στάδιον (stadion)             ,Egy versenypálya hossza: 600 p.                                                                                              ,stad.       ,Attic                                  ,attikai                                ,length           ,"Egger, Jochen, and Smart 2010, 459."                    ,184.98
δίαυλος (diaulos)             ,Dupla versenytáv: 2 stad.                                                                                                    ,diau.       ,Attic                                  ,attikai                                ,length           ,"Hultsch 1882, 697, tab. II.B."                          ,369.96
ἱππικόν (hippikon)            ,Egy hippodróm hossza: 4 stad.                                                                                                ,hip.        ,Attic                                  ,attikai                                ,length           ,"Hultsch 1882, 697, tab. II.B."                          ,739.92
δόλιχος (dolichos)            ,Egy hosszú versenytáv: 12 stad.                                                                                              ,dol.        ,Attic                                  ,attikai                                ,length           ,"Hultsch 1882, 697, tab. II.B."                          ,2219.76
digitus                       ,róm. ujj: 1/16 p.                                                                                                            ,dig.        ,Roman                                  ,római                                  ,length           ,"Nissen 1886, tab. III."                                 ,0.0185
uncia𝅴                         ,"A pes unciája, azaz 1/12 p."                                                                                                ,un.         ,Roman                                  ,római                                  ,length           ,"Nissen 1886, tab. III."                                 ,0.0247
palmus                        ,róm. tenyér: 4 dig.                                                                                                          ,pal.        ,Roman                                  ,római                                  ,length           ,"Nissen 1886, tab. III."                                 ,0.074
palmus maior                  ,"róm. nagyobb tenyér, azaz arasz: 3 pal."                                                                                    ,pal. mai.   ,Roman                                  ,római                                  ,length           ,"Nissen 1886, tab. III."                                 ,0.222
pes                           ,"róm. láb, a rendszer alapmértéke, 4 pal."                                                                                   ,p.          ,Roman                                  ,római                                  ,length           ,"Nissen 1886, tab. III."                                 ,0.296
palmipes                      ,jel. tenyér és láb: 5 pal.                                                                                                   ,plp.        ,Roman                                  ,római                                  ,length           ,"Nissen 1886, tab. III."                                 ,0.37
cubitus                       ,róm. könyök/rőf: 6 pal.                                                                                                      ,cub.        ,Roman                                  ,római                                  ,length           ,"Nissen 1886, tab. III."                                 ,0.444
gradius                       ,"róm. lépés, aka. grassus v. pes sestertius: 2 1/2 p., 10 pal."                                                              ,gra.        ,Roman                                  ,római                                  ,length           ,"Nissen 1886, tab. III."                                 ,0.74
passus                        ,róm. kettős lépés (2 gradius): 5 p.                                                                                          ,pass.       ,Roman                                  ,római                                  ,length           ,"Nissen 1886, tab. III."                                 ,1.48
pertica                       ,"róm. rúd, 10 p. hosszúságú, aka. decempeda"                                                                                 ,per.        ,Roman                                  ,római                                  ,length           ,"Nissen 1886, tab. III."                                 ,2.96
actus                         ,"Egy barázda hossza: 12 per., 24 pass."                                                                                      ,act.        ,Roman                                  ,római                                  ,length           ,"Nissen 1886, tab. III."                                 ,35.52
mille passus                  ,róm. mérföld: 1000 pass.                                                                                                     ,mille       ,Roman                                  ,római                                  ,length           ,"Nissen 1886, tab. III."                                 ,1480.0
Wiener Punkt                  ,bécsi pont: 1/144 Zoll                                                                                                       ,Punkt       ,Austrian/Viennese                      ,osztrák/bécsi                          ,length           ,"Bogdán 1990, 35."                                       ,0.0001829
Wiener Linie                  ,bécsi vonal: 12 Punkt                                                                                                        ,Lin.        ,Austrian/Viennese                      ,osztrák/bécsi                          ,length           ,"Bogdán 1990, 35."                                       ,0.002195
Wiener Zoll                   ,bécsi hüvelyk: 12 Lin.                                                                                                       ,Zoll        ,Austrian/Viennese                      ,osztrák/bécsi                          ,length           ,"Bogdán 1990, 35."                                       ,0.02634
Wiener Fuß                    ,bécsi láb: 12 Zoll                                                                                                           ,Fuß         ,Austrian/Viennese                      ,osztrák/bécsi                          ,length           ,"Bogdán 1990, 35."                                       ,0.31608
Wiener Elle                   ,bécsi rőf (nem illeszkedik a hatos számrendszerbe)                                                                           ,Elle        ,Austrian/Viennese                      ,osztrák/bécsi                          ,length           ,"Bogdán 1990, 35."                                       ,0.77755
Wiener Klafter                ,bécsi öl: 6 Fuß                                                                                                              ,Klaf.       ,Austrian/Viennese                      ,osztrák/bécsi                          ,length           ,"Bogdán 1990, 35."                                       ,1.8964
Wiener Rute                   ,bécsi rúd: 12 Fuß                                                                                                            ,Rute        ,Austrian/Viennese                      ,osztrák/bécsi                          ,length           ,"Bogdán 1990, 35."                                       ,3.793
Wiener Meile                  ,"bécsi mérföld: 2400 Fuß, 4000 Klaf."                                                                                        ,Mei.        ,Austrian/Viennese                      ,osztrák/bécsi                          ,length           ,"Bogdán 1990, 35."                                       ,7585.9
